ID,Lat,Long,Name
L38,34.1473114,-118.8202358,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Iwu9PhIhuRIvMyAXBg3z3w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=285.143&pitch=0&thumbfov=100"" , ""link"")"
L39,34.1043519,-118.7087233,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipMh5itwUfqXH4CFFiwo0nO1wIcCPVJWLrT0jh4A=w427-h240-k-no"" , ""link"")"
L40,34.159876,-118.830735,,default
L41,34.0992437,-118.7141517,,default
L42,34.0990678,-118.7142746,,default
L43,34.0971846,-118.7159739,,default
L44,34.0991409,-118.7128305,,default
L45,34.0978154,-118.7136505,,default
L46,34.0873231,-118.1145538,,default
L47,34.0991491,-118.1099605,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8ZEHdQ_ek45J_UZmlhM19g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=255.09937&pitch=0&thumbfov=100"" , ""link"")"
L48,34.09127159999999,-118.1410383,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=54yvERy_nAMPiMnpBRyZVg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=152.65039&pitch=0&thumbfov=100"" , ""link"")"
L49,34.0990884,-118.1089303,,default
L50,34.0904334,-118.1087931,,default
L51,34.0991731,-118.1084273,,default
L52,34.07797849999999,-118.1204825,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3kqy5SkU3Z19QenLg_nUcQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=115.467415&pitch=0&thumbfov=100"" , ""link"")"
L53,34.0946838,-118.1251737,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bZnchzNkNi9ZTBP-mt3H3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=358.57922&pitch=0&thumbfov=100"" , ""link"")"
L54,34.0938931,-118.1269255,,default
L55,34.0960984,-118.1262552,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=W3HR0aO4fqWYv0-1-htPVw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=341.80676&pitch=0&thumbfov=100"" , ""link"")"
L56,34.0964532,-118.1255261,,default
L57,34.0965236,-118.1254797,,default
L58,34.0966634,-118.1269223,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HyIOPAL-m0ZIN5PPxRkLtw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=157.79309&pitch=0&thumbfov=100"" , ""link"")"
L59,34.09705879999999,-118.1242017,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e0ZiaZ-VqBLPCiaT1Zi8vQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.54439&pitch=0&thumbfov=100"" , ""link"")"
L60,34.09543259999999,-118.1281099,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1jcLAesyo-IPeQS6ulaU9w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=65.87454&pitch=0&thumbfov=100"" , ""link"")"
L61,34.0962511,-118.1227026,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=US8XKq4uRjvvDzCmYf1lkQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=78.48226&pitch=0&thumbfov=100"" , ""link"")"
L62,34.0953496,-118.12879,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ow1IofxcxYUVPc2NNIa0LQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=231.4775&pitch=0&thumbfov=100"" , ""link"")"
L63,34.0910139,-118.1260893,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ec11o9MNK2ltSuP7JsM3rg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=157.09105&pitch=0&thumbfov=100"" , ""link"")"
L64,34.0905518,-118.1257098,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipPwQ0u5wDRVt5qfDiD1E46d34BDN4toI3o7NH1l=w408-h544-k-no"" , ""link"")"
L65,34.0932381,-118.1299625,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HxA2AtEZV3LLMjkDZLhoGA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=142.48364&pitch=0&thumbfov=100"" , ""link"")"
L66,34.0907693,-118.118257,,default
L67,34.0915793,-118.1172512,,default
L68,34.0908192,-118.1175713,,default
L69,34.0898675,-118.1165655,,default
L70,34.0904921,-118.1350983,,default
L71,34.0880603,-118.1167483,,default
L72,34.0869844,-118.1165655,,default
L73,34.0899364,-118.1461785,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yoM4yECc_sBjDnCsstB8XA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=123.056366&pitch=0&thumbfov=100"" , ""link"")"
L74,34.0832669,-118.1499369,,default
L75,34.0800639,-118.1499369,,default
L76,34.1037944,-118.1512625,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s5GdYa7pXbGJqQHEzm-7pQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=192.10625&pitch=0&thumbfov=100"" , ""link"")"
L77,34.0633774,-118.1215858,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gRAPWe9Om5EBYhhnAOiPvw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=319.02408&pitch=0&thumbfov=100"" , ""link"")"
L78,34.0630008,-118.1212287,,default
